[2026-06-21T08:23:27.229607] $MAD poller starting...
[2026-06-21T16:21:04.135167+00:00] Price: $0.001904 | Vol24h: $26003.46 | MCap: $934571
[2026-06-21T16:26:04.820899+00:00] Price: $0.001904 | Vol24h: $26003.46 | MCap: $934571
[2026-06-21T16:31:05.342568+00:00] Price: $0.001904 | Vol24h: $26002.45 | MCap: $934571
[2026-06-21T16:36:06.064842+00:00] Price: $0.001904 | Vol24h: $26002.45 | MCap: $934571
[2026-06-21T16:41:07.408568+00:00] Price: $0.001904 | Vol24h: $26002.45 | MCap: $934571
[2026-06-21T16:46:07.921867+00:00] Price: $0.001929 | Vol24h: $25964.83 | MCap: $946944
[2026-06-21T16:51:08.529082+00:00] Price: $0.001929 | Vol24h: $25964.83 | MCap: $946944
[2026-06-21T16:56:09.418498+00:00] Price: $0.001943 | Vol24h: $25967.05 | MCap: $953800
[2026-06-21T17:01:10.002316+00:00] Price: $0.001938 | Vol24h: $25909.41 | MCap: $951629
[2026-06-21T17:06:11.624228+00:00] Price: $0.001939 | Vol24h: $25909.94 | MCap: $951904
[2026-06-21T17:11:12.608069+00:00] Price: $0.001939 | Vol24h: $25909.66 | MCap: $951904
[2026-06-21T17:16:13.120365+00:00] Price: $0.001939 | Vol24h: $25895.25 | MCap: $951904
[2026-06-21T17:21:13.659432+00:00] Price: $0.001937 | Vol24h: $25904.51 | MCap: $950924
[2026-06-21T17:26:14.614615+00:00] Price: $0.001946 | Vol24h: $25987.85 | MCap: $955214
[2026-06-21T17:31:15.140013+00:00] Price: $0.001946 | Vol24h: $25973.68 | MCap: $955214
[2026-06-21T17:36:15.757307+00:00] Price: $0.001946 | Vol24h: $25973.66 | MCap: $955214
[2026-06-21T17:41:16.342808+00:00] Price: $0.001937 | Vol24h: $25946.52 | MCap: $950999
[2026-06-21T17:46:17.695005+00:00] Price: $0.001941 | Vol24h: $25947.71 | MCap: $952709
[2026-06-21T17:51:18.217907+00:00] Price: $0.001944 | Vol24h: $25948.99 | MCap: $954494
[2026-06-21T17:56:18.739459+00:00] Price: $0.001944 | Vol24h: $25951.18 | MCap: $954504
[2026-06-21T18:01:19.548064+00:00] Price: $0.001940 | Vol24h: $25952.94 | MCap: $952643
[2026-06-21T18:06:20.285536+00:00] Price: $0.001932 | Vol24h: $25954.1 | MCap: $948579
[2026-06-21T18:11:20.766554+00:00] Price: $0.001935 | Vol24h: $25946.63 | MCap: $949909
[2026-06-21T18:16:21.947308+00:00] Price: $0.001935 | Vol24h: $25982.15 | MCap: $950222
[2026-06-21T18:21:22.640690+00:00] Price: $0.001939 | Vol24h: $25983.56 | MCap: $951761
[2026-06-21T18:26:23.108894+00:00] Price: $0.001938 | Vol24h: $25984.81 | MCap: $951598
[2026-06-21T18:31:24.425190+00:00] Price: $0.001938 | Vol24h: $25971.25 | MCap: $951598
[2026-06-21T18:36:25.006965+00:00] Price: $0.001938 | Vol24h: $25971.25 | MCap: $951598
[2026-06-21T18:41:25.494570+00:00] Price: $0.001938 | Vol24h: $25971.25 | MCap: $951598
[2026-06-21T18:46:26.817389+00:00] Price: $0.001945 | Vol24h: $25972.12 | MCap: $954801
[2026-06-21T18:51:27.297403+00:00] Price: $0.001917 | Vol24h: $26089.52 | MCap: $941160
[2026-06-21T18:56:28.628686+00:00] Price: $0.001917 | Vol24h: $26089.52 | MCap: $941160
[2026-06-21T19:01:29.125787+00:00] Price: $0.001916 | Vol24h: $26109.07 | MCap: $940818
[2026-06-21T19:06:29.824965+00:00] Price: $0.001937 | Vol24h: $26118.7 | MCap: $951186
[2026-06-21T19:11:31.052147+00:00] Price: $0.001937 | Vol24h: $26118.7 | MCap: $951186
[2026-06-21T19:16:31.580729+00:00] Price: $0.001937 | Vol24h: $26118.7 | MCap: $951186
[2026-06-21T19:21:32.138094+00:00] Price: $0.001914 | Vol24h: $26118.64 | MCap: $939811
[2026-06-21T19:26:33.234294+00:00] Price: $0.001916 | Vol24h: $26118.83 | MCap: $940688
[2026-06-21T19:31:33.827454+00:00] Price: $0.001916 | Vol24h: $26040.44 | MCap: $940688
[2026-06-21T19:36:35.219445+00:00] Price: $0.001916 | Vol24h: $26040.44 | MCap: $940688
[2026-06-21T19:41:35.800063+00:00] Price: $0.001940 | Vol24h: $25593.8 | MCap: $952475
[2026-06-21T19:46:36.424108+00:00] Price: $0.001923 | Vol24h: $23530.56 | MCap: $944065
[2026-06-21T19:51:37.758372+00:00] Price: $0.001923 | Vol24h: $23285.21 | MCap: $944065
